project_url,project_title
https://github.com/OlubiyiMosope/mlops-zoomcamp-project,Abalone Age Prediction
https://github.com/Chinemelu4/mlops-zoomcamp-project.git,Airbnb Price Prediction
https://github.com/dheerajkarra/MLOps_Zoomcamp/tree/main/Project,Appliances Energy Usage Prediction
https://github.com/prashant-py-debug/mlops-project,Banana Classification
https://github.com/allront/mlops_zoomcamp,Bank Marketing Campaigns
https://github.com/vykuang/TO-bikeshare-membership,Bikeshare Membership Classification
https://github.com/Nakulbajaj101/mlops-zoomcamp-final-project,Bikeshare Rental Batch Analytical Engine
https://github.com/hannapethani/mlops-project.git,Bikeshare Ride Duration Prediction
https://github.com/KeiranJOC/bikeshare-ride-duration-prediction-service,Bikeshare Ride Duration Prediction
https://github.com/PatrickCmd/mlops-project,Bikeshare Ride Duration Prediction
https://github.com/BhuiyanMH/bixi-ride-duration-prediction,Bixi Ride Duration Prediction
https://github.com/camilo-cf/mlops_car_sales,Car Loan Prediction
https://github.com/moizsajid/mlops_zoomcamp/tree/main/project,Car Price Prediction
https://github.com/shivkurtarkar/chat-moderation,Chat Moderation
https://github.com/MarcosMJD/mlops-chicago-taxi,Chicago Taxi Trip Duration Prediction
https://github.com/Chrisroj/mlops-final-project,Churn Prediction
https://github.com/Qfl3x/mlops-zoomcamp-project,Churn Prediction
https://github.com/yusyel/mlops-project,Coronary Heart Disease Classification
https://github.com/jralduaveuthey/mlops-covid,COVID Cases Prediction
https://github.com/WLDCH/covid19-deaths-prediction,COVID-19 Deaths Prediction
https://github.com/vermadev54/MlopsZoomcampCourceProject,Credit Card Attrition
https://github.com/razorcd/mlops-training/tree/main/capstone-project,Credit Card Churn Prediction
https://github.com/varunkuntal/Crypto-prediction,Cryptocurrency Price Prediction
https://github.com/liartem/mlops-zoomcamp/tree/main/final_project,Customer Car Purchase Intentions Prediction
https://github.com/hoe94/DTC_MLOPS_Project,Customer Credibility Analysis
https://github.com/kargarisaac/mlops-zoomcamp-final-project,Customer Sentiment Analysis
https://github.com/N3wBaz/mlops_zoomcamp_project,Diabetes Prediction
https://github.com/hakymulla/Diabetes-ML-ps,Diabetes Prediction
https://github.com/hsuyab/project_final,Diamond Price Prediction
https://github.com/mharty3/energy_data_capstone/blob/master/readme.md,Electricity Demand Prediction
https://github.com/EphraimX/mlops-zoomcamp-capstone-project,Emotion Predictor
